animal,"('what animal', 'Target_Child')","[5, ('can I ride on the dog', 'Target_Child'), 'dog']",,
animal,"('those animal be make out of Play_Doh', 'Target_Child')","[5, ('cat', 'Father'), 'cat']",,
animal,"('animal', 'Target_Child')","[5, ('catch it', 'Target_Child'), 'cat']",,
animal,"('they be fun animal be they', 'Mother')","[5, ('catch Miriam', 'Target_Child'), 'cat']",,
animal,"('baby animal', 'Mother')","[5, ('catch', 'Mother'), 'cat']",,
animal,"('what the animal on a bus say', 'Mother')","[5, ('cow', 'Mother'), 'cow']",,
animal,"('animal', 'Target_Child')","[5, ('do dog get cold ask Sam', 'Mother'), 'dog']",,
animal,"('animal', 'Target_Child')","[5, ('dog', 'Target_Child'), 'dog']",,
animal,"('the animal they all go away', 'Investigator')","[5, ('go dog go', 'Investigator'), 'dog']",,
animal,"('do you show Daddy your new animal Abe', 'Mother')","[5, ('her go to a bunny_bing', 'Target_Child'), 'bunny']",,
animal,"('Megan give her the chicken and her animal', 'Mother')","[5, ('here wanna read about the bunny', 'Mother'), 'bunny']",,
animal,"('that animal', 'Target_Child')","[5, ('I do know how much dog like to be in the water', 'Mother'), 'dog']",,
animal,"('get a animal Mommy', 'Target_Child')","[5, ('it a fun look cow', 'Mother'), 'cow']",,
animal,"('there be lots_of animal that I do know of before how about you', 'Mother')","[5, ('not to break my bunny Mom', 'Target_Child'), 'bunny']",,
animal,"('that where food keep to the animal', 'Target_Child')","[5, ('oh we forget to feed the pig', 'Mother'), 'pig']",,
animal,"('we use these new animal too', 'Father')","[5, ('okay we play with the new one and the pig okay', 'Father'), 'pig']",,
animal,"('get the animal book', 'Mother')","[5, ('pig', 'Target_Child'), 'pig']",,
animal,"('be the animal eat grass on the floor', 'Father')","[5, ('splash splash on the pig toe', 'Father'), 'pig']",,
animal,"('this be the only animal', 'Mother')","[5, ('that dog go', 'Target_Child'), 'dog']",,
animal,"('what animal do you see', 'Mother')","[5, ('the cow jump over the moon', 'Mother'), 'cow']",,
animal,"('oh there lot of animal in this barn', 'Mother')","[5, ('the pig', 'Mother'), 'pig']",,
animal,"('and look at that there another animal', 'Mother')","[5, ('there a black cat', 'Mother'), 'cat']",,
animal,"('you be play with the animal right', 'Investigator')","[5, ('there a dog outside too', 'Investigator'), 'dog']",,
animal,"('do you have the animal', 'Mother')","[5, ('think it be a dog', 'Target_Adult'), 'dog']",,
animal,"('where be the animal', 'Mother')","[5, ('this little pig have none', 'Mother'), 'pig']",,
animal,"('we have bag of farm the animal', 'Target_Child')","[5, ('we could put them in the pig pen', 'Mother'), 'pig']",,
